post_id,text,likes,comments,reposts,views,attachments
2995381,"УМЕР ЛИАМ ПЕЙН.

31-летнего певца и бывшего солиста популярной группы One direction нашли мёртвым в Буэнос-Айресе после того, как он упал с третьего этажа отеля, в котором находился.

Я просто не хочу в это верить..",2014,118,1797,188732,"['photo', 'photo']"
2999975,"Сегодня свой 55-й День Рождения в тюрьме отмечает P.Diddy.

Сегодня исполнилось 55 лет Шону Комбсу, наиболее известному большинству по обвинениям в нас.лии, торговле людьми, избиении своей женщины, а также по его коллекции детского масла, которое покупалось, якобы, в прок.

Не поздравляем и ждём решение суда.",65,13,43,10999,"['photo', 'photo', 'photo', 'photo', 'photo']"
2999958,"НАД АРИАНОЙ ГРАНДЕ ИЗДЕВАЛИСЬ В ШКОЛЕ ИЗ-ЗА ЕЁ ЖЕЛАНИЯ СТАТЬ ПЕВИЦЕЙ.

На недавнем подкасте одна из самых популярных вокалисток современности Ариана Гранде рассказала о том, как выделялась среди своих одноклассников. Она с юных лет выступала и пела, за что окружающие её лишь буллили.

Сверстники смеялись над юной Арианой и издевательски задавали вопросы о том, хочет ли она иметь поклонников и быть знаменитой.

Сама же Гранде ответила на всё это тем, что она просто хочет заниматься пением, ведь это приносит ей удовольствие.",172,9,10,15896,"['photo', 'photo']"
2999950,"Небольшое напоминание от Megan Thee Stallion о том, что вы должны быть уверены в себе:",119,2,17,10567,['video']
2999937,"КИМ КАРДАШЬЯН ОСКВЕРНЯЕТ ПАМЯТЬ ПРИНЦЕССЫ ДИАНЫ.

Бизнесвумен вновь попала в скандал, связанный с винтажной вещью, ранее принадлежащей известной личности. На этот раз Ким посетила гала-вечер LACMA Art + Film Gala, на который выбрала платье от Gucci, дополнив его крестом принцессы Дианы.

Ранее это украшение принадлежало бизнесмену по имени Наим Аттала, а Диана несколько раз посещала в нем разные мероприятия. Так королева людских сердец была единственной знаменитостью, которая носила этот крест. После смерти Наима кулон достался его сыну и был продан на торгах за 163 тысячи фунтов Ким.

Многие были возмущены тем, какой образ примерила на себя миллиардерша вместе с этим кулоном, отмечая то, что она выглядит вульгарно и дёшево, выпячивая свою грудь с крестом Дианы напоказ.",244,13,40,40222,"['photo', 'photo', 'photo', 'photo']"
2999925,"КОЛЛАБ, КОТОРЫЙ НЕ ОЖИДАЛ НИКТО: Рианна выпустила коллаборацию с «Arcane».

Неожиданно для многих Fenty Beauty решили выпустить новую коллекцию в коллаборации с мультсериалом Аркейн. Коллекция будет называться «Fenty Beauty x Arcane: The Legends Vault».

Визажистка бренда Присцилла Оно уже высказалась по этому поводу, сказав, что это коллекция о сильных женщинах, которых показал сериал.",531,9,207,29172,"['photo', 'video', 'photo']"
2999907,"Короля Испании забросали грязью после ужасного наводнения в Валенсии.

В конце прошлого месяца в провинции Валенсия за восемь часов выпала годовая норма осадков, в результате которой погибло более 211-ти человек.

В регион было направлено более 10-ти тысяч военных и полицейских, которые занимались разбором завалов и помощью пострадавшим. Позже 3-го ноября в пригород Пайпорта прибыл и Филипп VI со своей супругой Летисией, которых жители освистали и закидали грязью с улиц, называя убийцами(видео прикрепили).

Сначала монарх хотел успокоить толпу, но у него не вышло, из-за чего король с Летисией прервали свой визит.",243,9,92,30224,"['photo', 'video', 'video']"
2999885,"Адель перевоплотилась в Мэдлин Эштон из фильма «Смерть ей к лицу». А заодно и обнялась с Мэрил Стрип.

На последнем концерте Адель была своя атмосфера Хэллоуина. Певица перевоплотилась в одну из главных героинь фильма «Смерть ей к лицу» 1992-го года, сыгранную Мэрил Стрип.

В зале присутствовала и сама актриса, перед которой Адель сначала сделала поклон, а после обняла и сказала, что очень её любит",907,4,55,45710,"['photo', 'video', 'photo']"
2999880,"23 ГОДА НАШИМ ЛЮБИМЫМ ШПИОНКАМ.

Вчера исполнилось 23 года с премьеры первой серии многими любимого мультсериала про модных шпионок «Totally Spies».

Всего шоу насчитывает уже 7 сезонов, и выход последнего сезона всё ещё идёт. Помимо этого Prime Video работает над адаптацией проекта в виде сериала.",301,11,66,11947,"['photo', 'photo']"
2999838,"RED или GREEN флаг: [https://vk.com/wall-88397640_2998044|Том Холланд] признался, что иногда гуглит [https://vk.com/wall-88397640_2991897|Зендаю]!

28-летний актер в подкасте ""On The Menu"" для журнала «People» признался, что последнее, что он искал в интернете была информация о его возлюбленной - Зендае. 

Том рассказал, что не использует социальные сети, поэтому Гугл - единственное средство узнать, что с его любимой все в порядке и ее не травят. 

«Да, возможно это немного тревожная вещь, но я действительно проверяю, все ли в порядке. Просматриваю новости, и потом такой: «Она хороша».

Напомним, Зендая и Том Холланд познакомилась во время работы над «Человеком-пауком» в 2017 году и начали встречаться в 2021 году, предпочитая сохранить свои отношения относительно приватными.

Вчера, кстати, парочка была замечена на улицах Бостона, куда Зендая отправилась на съемки нового фильма, а Том поехал с ней, чтобы поддержать.",735,8,62,54036,"['photo', 'photo']"
